"1792 Full Proof Bourbon","8.86","0.32","5","$$$","Bourbon-like","","","USA","Bourbon"
"Jameson Signature Reserve","8.38","0.31","5","$$","Scotch-like","","","Ireland","Blend"
"Jefferson's 18yo Presidential Select","8.85","0.45","8","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Jefferson's Ocean Aged at Sea","8.64","0.38","3","$$$$","Bourbon-like","","","USA","Bourbon"
"Jefferson's Ocean","8.54","0.19","6","$$","Bourbon-like","","","USA","Bourbon"
"Jefferson's Reserve Very Old Kentucky Straight Bourbon","8.53","0.36","7","$$$","Bourbon-like","","","USA","Bourbon"
"Jefferson's Straight Rye 10yo","8.62","0.36","7","$$$","Rye-like","","","USA","Rye"
"Jefferson's Very Small Batch Bourbon","7.91","0.72","8","$$","Bourbon-like","","","USA","Bourbon"
"Jim Beam 12yo Signature Craft","8.60","0.28","9","$$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Black Label","8.27","0.29","15","$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Bonded","8.58","0.35","8","$$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Devil's Cut","8.07","0.51","16","$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Distillers Masterpiece PX Sherry Cask Finish","8.39","0.36","4","$$$$$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Distillers Series","7.66","1.58","4","$$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Double Oak","8.19","0.44","7","$$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Pre-Prohibition Rye","8.47","0.37","6","$","Rye-like","","","USA","Rye"
"Jim Beam Red Stag (Black Cherry)","7.44","0.99","4","$","Bourbon-like","","","USA","Flavoured"
"Jim Beam Rye","7.93","0.64","9","$","Rye-like","","","USA","Rye"
"Jim Beam Single Barrel","8.65","0.22","4","$$","Bourbon-like","","","USA","Bourbon"
"Jim Beam White Label","7.67","0.45","17","$","Bourbon-like","","","USA","Bourbon"
"Johnnie Walker Black Label","8.28","0.47","22","$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Blue Label","8.54","0.37","14","$$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Double Black","8.43","0.43","14","$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Explorer’s Club The Adventurer","7.90","0.08","3","$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Explorer’s Club The Gold Route","8.49","0.33","8","$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Explorer’s Club The Royal Route","8.35","0.41","7","$$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Explorer’s Club The Spice Road","8.38","0.55","9","$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Gold Label Reserve","8.29","0.34","16","$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Green Label","8.54","0.40","17","$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Platinum Label","8.46","0.41","16","$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Red Label","7.42","0.60","19","$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Rye Cask Finish","8.40","0.55","5","$$$","Scotch-like","","","Scotland","Blend"
"Kakubin (Suntory Whisky)","7.98","0.82","5","$$","Scotch-like","","","Japan","Blend"
"Kilbeggan 8yo Single Grain (Greenore)","8.13","0.37","11","$$","Scotch-like","","","Ireland","Grain"
"Kirin 50% Blend (Fuji Gotemba)","8.36","0.48","3","$$$$","Scotch-like","","","Japan","Blend"
"Knob Creek Single Barrel Reserve Bourbon","8.75","0.29","11","$$$","Bourbon-like","","","USA","Bourbon"
"Knob Creek Small Batch 9yo Bourbon","8.61","0.40","21","$$","Bourbon-like","","","USA","Bourbon"
"Knob Creek Small Batch Straight Rye Whiskey","8.55","0.38","16","$$$","Rye-like","","","USA","Rye"
"Koval Single Barrel Bourbon","8.67","0.33","7","$$$","Bourbon-like","","","USA","Bourbon"
"Koval Single Barrel Four Grain","8.54","0.19","5","$$$$","Bourbon-like","","","USA","Grain"
"Koval Single Barrel Millet Whiskey","8.21","0.31","5","$$$","Bourbon-like","","","USA","Grain"
"Koval Single Barrel Rye","8.08","0.31","5","$$$","Rye-like","","","USA","Rye"
"Larceny Small Batch Bourbon","8.38","0.25","10","$$","Bourbon-like","","","USA","Bourbon"
"Lohin McKinnon","7.94","0.10","3","$$$","Rye-like","","","Canada","Rye"
"Lot 40 Cask Strength","9.23","0.19","3","","Rye-like","","","Canada","Rye"
"Lot 40","8.90","0.35","20","$$","Rye-like","","","Canada","Rye"
"Mackinlay 'Shackleton' Rare Old Highland Malt "Maker's Mark 46","8.77","0.33","15","$$$","Bourbon-like","","","USA","Bourbon"
"Maker's Mark Cask Strength","8.71","0.38","9","$$$$","Bourbon-like","","","USA","Bourbon"
"Maker's Mark","8.24","0.43","22","$$","Bourbon-like","","","USA","Bourbon"
"Masterson's Straight Barley 10yo","8.57","0.61","7","$$$$","Rye-like","","","Canada","Barley"
"Masterson's Straight Rye 10yo","8.87","0.40","17","$$$$","Rye-like","","","Canada","Rye"
"Masterson's Straight Wheat 12yo","8.64","0.23","9","$$$$","Rye-like","","","Canada","Wheat"
"Mellow Corn BiB","7.86","0.45","11","$","Bourbon-like","","","USA","Bourbon"
"Michter's 10yo Single Barrel Bourbon","8.83","0.32","9","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Michter's 10yo Single Barrel Rye","8.82","0.30","5","$$$$$+","Rye-like","","","USA","Rye"
"Michter's 20yo Single Barrel Bourbon","8.96","0.37","4","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Michter's Barrel Strength Rye","8.97","0.22","4","$$$$","Rye-like","","","USA","Rye"
"Michter's Single Barrel Straight Rye","8.70","0.44","10","$$$","Rye-like","","","USA","Rye"
"Michter's Small Batch Bourbon","8.50","0.30","12","$$$","Bourbon-like","","","USA","Bourbon"
"Michter's Sour Mash","8.37","0.10","3","$$$","Bourbon-like","","","USA","Bourbon"
"Michter's Toasted Barrel","8.41","0.16","5","$$$$","Bourbon-like","","","USA","Bourbon"
"Millstone 100 Rye","8.72","0.30","9","$$$$","Rye-like","","","Netherlands","Rye"
"Nikka Coffey Grain","8.60","0.48","15","$$$$","Scotch-like","","","Japan","Grain"
"Old Fitzgerald BiB","7.99","0.35","4","$$$","Bourbon-like","","","USA","Bourbon"
"Old Fitzgerald Kentucky Straight Bourbon","8.43","0.52","6","$$","Bourbon-like","","","USA","Bourbon"
"Old Forester 1897 BiB","8.12","0.60","4","$$$","Bourbon-like","","","USA","Bourbon"
"Old Forester 1920 Prohibition Style","8.75","0.30","4","$$$$","Bourbon-like","","","USA","Bourbon"
"Old Forester Birthday (2012-2016)","8.75","0.15","9","$$$$$","Bourbon-like","","","USA","Bourbon"
"Old Forester Signature (100 Proof)","8.36","0.40","8","$$","Bourbon-like","","","USA","Bourbon"
"Old Forester","8.12","0.43","11","$$","Bourbon-like","","","USA","Bourbon"
"Old Grand-Dad Bourbon (80/86 Proof)","8.06","0.49","10","$$","Bourbon-like","","","USA","Bourbon"
"Old Grand-Dad Bourbon 100 BiB","8.38","0.53","9","$$","Bourbon-like","","","USA","Bourbon"
"Old Grand-Dad Bourbon 114","8.63","0.24","9","$$","Bourbon-like","","","USA","Bourbon"
"Old Rip Van Winkle 10yo","8.98","0.23","9","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Old Weller Antique 107","8.69","0.41","10","$$","Bourbon-like","","","USA","Bourbon"
"Orphan Barrel Barterhouse Bourbon 20yo","8.72","0.40","12","$$$$$","Bourbon-like","","","USA","Bourbon"
"P&M Blended Whisky","7.45","0.98","5","$","Scotch-like","","","France","Blend"
"Pappy Van Winkle Family Reserve Bourbon 15yo","9.24","0.24","10","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Pappy Van Winkle Family Reserve Bourbon 20yo","9.25","0.35","12","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Pappy Van Winkle Family Reserve Bourbon 23yo","8.74","0.52","4","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 10th 24yo Kentucky Straight Bourbon","8.64","0.96","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 2nd 27yo Kentucky Straight Boubon","9.28","0.38","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 4th 10yo Wheated Mash Bill Bourbon","9.09","0.22","5","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 5th 10yo Cognac Barrel Finished","9.01","0.29","8","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 6th Blend of Mashbills","9.05","0.11","6","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 7th 10yo Promise of Hope","9.15","0.18","7","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 8th 13yo Wheat Whiskey","8.77","0.55","8","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Parker’s Heritage 9th 8yo Malt Whiskey","8.41","0.55","5","$$$$$","Bourbon-like","","","USA","Bourbon"
"Pendleton (Let'er Buck)","8.00","0.50","14","$$","Rye-like","","","Canada","Blend"
"Pendleton 1910","8.35","0.47","8","$$","Rye-like","","","Canada","Blend"
"Pike Creek 10yo Port-finished","8.29","0.49","12","$$","Rye-like","","","Canada","Blend"
"Pike Creek 10yo Rum-finished","8.74","0.20","4","$$","Rye-like","","","Canada","Blend"
"Pikesville Straight Rye","8.74","0.49","13","$$$$","Rye-like","","","USA","Rye"
"Potter's Special Old","8.41","0.43","4","$","Rye-like","","","Canada","Blend"
"Powers 12yo John's Lane","8.82","0.39","14","$$$$","Scotch-like","","","Ireland","Blend"
"Powers 12yo Reserve","8.63","0.26","6","$$$","Scotch-like","","","Ireland","Blend"
"Powers Gold Label","7.99","0.52","11","$$","Scotch-like","","","Ireland","Blend"
"Powers Signature Release","8.23","0.54","4","$$$","Scotch-like","","","Ireland","Blend"
"Prichard’s Rye","8.45","0.29","3","$$$$","Rye-like","","","USA","Rye"
"Proof Whisky","7.23","0.80","9","$$","Rye-like","","","Canada","Blend"
"Rebel Yell Kentucky Bourbon","7.60","0.58","11","$","Bourbon-like","","","USA","Bourbon"
"Redemption High Rye Bourbon","7.82","0.42","4","$$","Bourbon-like","","","USA","Bourbon"
"Rich and Rare Reserve","7.79","0.50","7","$","Rye-like","","","Canada","Blend"
"Rich and Rare","7.70","0.60","5","$","Rye-like","","","Canada","Blend"
"Rittenhouse Rye 100 Proof","8.58","0.23","15","$$","Rye-like","","","USA","Rye"
"Royal Canadian Small Batch","8.04","0.36","12","$$","Rye-like","","","Canada","Blend"
"Russell's Reserve 6yo Rye","8.69","0.28","7","$$$","Rye-like","","","USA","Rye"
"Russell's Reserve Single Barrel","8.82","0.47","8","$$$$","Bourbon-like","","","USA","Bourbon"
"Russell's Reserve Small Batch 10yo Bourbon","8.55","0.29","14","$$","Bourbon-like","","","USA","Bourbon"
"Santis Edition Dreifaltigkeit / Cask Strength "Sazerac 18yo","8.93","0.36","13","$$$$$+","Rye-like","","","USA","Rye"
"Sazerac Straight Rye","8.59","0.46","13","$$","Rye-like","","","USA","Rye"
"Schenley Golden Wedding","7.88","0.70","9","$","Rye-like","","","Canada","Blend"
"Seagram's Canadian 83","7.36","0.81","7","$","Rye-like","","","Canada","Blend"
"Seagram's VO","7.80","0.69","9","$","Rye-like","","","Canada","Blend"
"Silk Tassel","7.73","0.71","4","$","Rye-like","","","Canada","Blend"
"Smooth Ambler Old Scout 10yo Bourbon","8.63","0.43","3","$$$$","Bourbon-like","","","USA","Bourbon"
"Smooth Ambler Old Scout 7yo Bourbon","8.52","0.38","9","$$$","Bourbon-like","","","USA","Bourbon"
"Smooth Ambler Old Scout 7yo Rye","8.56","0.36","6","$$$","Rye-like","","","USA","Rye"
"Smooth Ambler Old Scout Single Barrel Bourbon","8.89","0.25","5","$$$$","Bourbon-like","","","USA","Bourbon"
"Smooth Ambler Old Scout Yearling Bourbon","7.91","1.21","3","$$$","Bourbon-like","","","USA","Bourbon"
"Stagg Jr (all batches)","8.57","0.4","16","$$$$","Bourbon-like","","","USA","Bourbon"
"Stagg Jr (batches 1-2)","8.45","0.38","13","$$$$","Bourbon-like","","","USA","Bourbon"
"Stagg Jr (batches 3-6)","8.89","0.18","6","$$$$","Bourbon-like","","","USA","Bourbon"
"Stalk & Barrel 11+1 Canadian whisky","8.21","0.42","16","$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Red Blend","8.41","0.5","4","$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Rye (Cask Strength)","8.39","0.55","4","$$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Rye","8.56","0.2","5","$$$","Rye-like","","","Canada","Blend"
"Stranahan's Colorado Whiskey","8.58","0.32","13","$$$$","Bourbon-like","","","USA","Bourbon"
"Suntory Old Whisky","8.30","0.32","7","$$$","Scotch-like","","","Japan","Blend"
"Suntory The Chita Single Grain","8.25","0.47","4","$$$","Scotch-like","","","Japan","Blend"
"Suntory Toki","8.22","0.47","6","$$$","Scotch-like","","","Japan","Blend"
"Teacher's Highland Cream","7.97","0.71","11","$","Scotch-like","","","Scotland","Blend"
"Teeling Poitin","8.14","0.24","5","$$","Scotch-like","","","Ireland","Blend"
"Teeling Single Grain (Wine Cask Finish)","8.53","0.32","10","$$$","Scotch-like","","","Ireland","Grain"
"Templeton Rye","8.02","0.39","7","$$$","Rye-like","","","USA","Rye"
"The Irishman Cask Strength","8.68","0.25","4","$$$$$","Scotch-like","","","Ireland","Blend"
"The Irishman Founder’s Reserve","8.29","0.37","7","$$","Scotch-like","","","Ireland","Blend"
"The Irishman Original Clan Irish Whiskey","8.15","0.22","4","$$","Scotch-like","","","Ireland","Blend"
"The Nikka 12yo Premium Blended","8.53","0.16","3","$$$$","Scotch-like","","","Japan","Blend"
"The Quiet Man Traditional Irish Whiskey","7.51","1.12","6","$$","Scotch-like","","","Ireland","Blend"
"Thomas H. Handy Sazerac","9.12","0.21","14","$$$$$+","Rye-like","","","USA","Rye"
"Three Ships 10yo","8.42","0.38","9","$$$$","Scotch-like","","","South Africa","Blend"
"Three Ships 5yo","8.06","0.49","9","$","Scotch-like","","","South Africa","Blend"
"Tincup American Whiskey","8.16","0.32","7","$$","Bourbon-like","","","USA","Bourbon"
"Tullamore Dew Blended 12yo","7.98","0.33","10","$$$","Scotch-like","","","Ireland","Blend"
"Tullamore Dew Blended","7.83","0.38","17","$$","Scotch-like","","","Ireland","Blend"
"Té Bheag","8.48","0.29","14","$$","Scotch-like","","","Scotland","Blend"
"Van Winkle Family Reserve Rye 13yo","8.96","0.33","8","$$$$$+","Rye-like","","","USA","Rye"
"Van Winkle Special Reserve 12yo Lot B","8.69","0.18","7","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Very Old Barton 6yo BiB","8.35","0.38","3","$$","Bourbon-like","","","USA","Bourbon"
"Very Old Barton 6yo","8.45","0.37","6","$","Bourbon-like","","","USA","Bourbon"
"Virginia Black","7.65","0.96","5","$$","Bourbon-like","","","USA","Bourbon"
"W.L. Weller 12yo","8.87","0.24","12","$$$$$","Bourbon-like","","","USA","Bourbon"
"W.L. Weller Special Reserve","8.41","0.37","11","$","Bourbon-like","","","USA","Bourbon"
"Wayne Gretzky No. 99 Red Cask","8.09","0.32","5","$$","Rye-like","","","Canada","Blend"
"West Cork Original Irish Whiskey","8.02","0.49","3","$$","Scotch-like","","","Ireland","Blend"
"Whistlepig 10yo","8.83","0.42","16","$$$$","Rye-like","","","Canada","Blend"
"Whistlepig The Boss Hog","8.81","0.28","9","$$$$$","Rye-like","","","Canada","Blend"
"White Oak Akashi Blended","7.81","0.64","7","$$$","Scotch-like","","","Japan","Blend"
"Whyte & Mackay Special Reserve","7.39","0.43","6","$","Scotch-like","","","Scotland","Blend"
"Wild Turkey 101 Bourbon","8.47","0.42","18","$$","Bourbon-like","","","USA","Bourbon"
"Wild Turkey 101 Rye","8.45","0.3","8","$$","Rye-like","","","USA","Rye"
"Wild Turkey 81 Bourbon","8.18","0.38","13","$","Bourbon-like","","","USA","Bourbon"
"Wild Turkey 81 Rye","8.03","0.17","6","$$","Bourbon-like","","","USA","Bourbon"
"Wild Turkey Rare Breed","8.73","0.32","15","$$$","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate 11yo Bourbon","8.92","0.14","4","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate 13yo Bourbon","8.78","0.43","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate 14yo Bourbon","8.88","0.44","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate 17yo Bourbon","8.93","0.54","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate 22yo Bourbon","9.33","0.11","3","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate 25yo Rye","8.77","0.49","3","$$$$$+","Rye-like","","","USA","Rye"
"Willett Family Estate 2yo Rye","8.46","0.3","7","$$$","Rye-like","","","USA","Rye"
"Willett Family Estate 3yo Rye","8.71","0.45","5","$$$","Rye-like","","","USA","Rye"
"Willett Family Estate 4yo Rye","8.8","0.49","7","$$$","Rye-like","","","USA","Rye"
"Willett Family Estate 6yo Rye","8.95","0.18","4","$$$$","Rye-like","","","USA","Rye"
"Willett Family Estate 9yo Bourbon","8.61","0.32","3","$$$$","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate Bourbon (all ages)","8.99","0.28","13","$$$$","Bourbon-like","","","USA","Bourbon"
"Willett Family Estate Rye (all ages)","8.71","0.28","12","$$$$","Rye-like","","","USA","Rye"
"Willett Pot Still Reserve","8.64","0.51","9","$$$","Bourbon-like","","","USA","Bourbon"
"William Larue Weller","9.17","0.25","11","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Woodford Reserve bourbon","8.4","0.33","19","$$","Bourbon-like","","","USA","Bourbon"
"Woodford Reserve Double Oaked","8.77","0.28","11","$$$$","Bourbon-like","","","USA","Bourbon"
"Woodford Reserve Straight Rye","8.49","0.24","9","$$","Rye-like","","","USA","Rye"
"Writers Tears Pot Still Irish Whiskey","8.52","0.32","16","$$","Scotch-like","","","Ireland","Blend"
"Yamazakura 16yo Blended Whisky","8.09","0.53","3","$$$$$","Scotch-like","","","Japan","Blend"
"Yamazakura Blended Whisky","6.63","1.16","3","$$$","Scotch-like","","","Japan","Blend"
"Yellow Rose Straight Rye","8.31","0.53","5","$$$","Rye-like","","","USA","Rye"
"Yellow Spot","8.78","0.26","14","$$$$","Scotch-like","","","Ireland","Blend"
"Yellowstone 2015 Limited Edition","8.36","0.65","4","$$$$$","Bourbon-like","","","USA","Bourbon"
"Yellowstone 2016 Limited Edition","8.73","0.45","3","$$$$$","Bourbon-like","","","USA","Bourbon"
"Yellowstone Select","8.19","0.26","3","$$$","Bourbon-like","","","USA","Bourbon"