"Aberfeldy 12yo","8.18","0.32","18","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aberfeldy 16yo","8.46","0.20","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberfeldy 18yo","8.66","0.26","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberfeldy 21yo","8.78","0.20","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aberlour 10yo","8.28","0.34","14","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour 12yo Double Cask Matured","8.35","0.20","15","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Aberlour 12yo Non-Chill-Filtered","8.79","0.24","11","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Aberlour 16yo Double Cask Matured","8.71","0.18","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour 18yo","8.77","0.27","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh","8.95","0.16","23","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut 100 Peated","8.92","0.38","6","$$$$","SingleMalt-like","J","J","India","Malt"
"Amrut 6yo Virgin Oak Single Cask","9.09","0.24","3","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Bourbon Single Cask","8.73","0.30","12","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Double Cask","9.07","0.26","3","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Fusion","8.89","0.26","23","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Greedy Angels (8yo and 10yo)","9.20","0.19","6","$$$$$+","SingleMalt-like","ABC","C","India","Malt"
"Amrut Herald","8.91","0.15","6","$$$$","SingleMalt-like","EF","E","India","Malt"
"Amrut Indian Single Malt","8.44","0.46","14","$$$","SingleMalt-like","GH","G","India","Malt"
"Amrut Intermediate Sherry","8.96","0.39","17","$$$$","SingleMalt-like","ABC","B","India","Malt"
"Amrut Kadhambam","8.92","0.28","12","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Amrut Naarangi","8.46","0.66","8","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Amrut Peated Single Malt Cask Strength","9.15","0.18","9","$$$$","SingleMalt-like","J","J","India","Malt"
"Amrut Peated Single Malt","8.69","0.33","11","$$$$","SingleMalt-like","J","J","India","Malt"
"Amrut Portonova","8.97","0.29","16","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Amrut Portpipe Peated Single Cask","8.83","0.34","9","$$$$","SingleMalt-like","J","J","India","Malt"
"Amrut PX Sherry Single Cask","8.76","0.45","8","$$$$","SingleMalt-like","ABC","A","India","Malt"
"Amrut Spectrum","9.16","0.22","8","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Amrut Two Continents","8.79","0.45","12","$$$$","SingleMalt-like","EF","E","India","Malt"
"AnCnoc 12yo","8.63","0.32","18","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"AnCnoc 16yo","8.68","0.34","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"AnCnoc 18yo","8.64","0.35","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"AnCnoc 1975","8.88","0.55","4","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"AnCnoc 2000","8.63","0.18","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"AnCnoc 22yo","8.74","0.31","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"AnCnoc Cutter","8.98","0.47","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"AnCnoc Flaughter","8.60","0.31","10","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"AnCnoc Peter Arkle (all releases)","8.43","0.29","8","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"AnCnoc Rutter","8.92","0.30","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 10yo","8.93","0.32","23","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 17yo","9.04","0.25","7","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg 21yo","9.19","0.24","10","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Alligator","9.05","0.16","13","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Ardbog","9.02","0.44","18","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Auriverdes","8.87","0.37","17","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Corryvreckan","9.09","0.31","20","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Dark Cove","8.89","0.33","15","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Galileo","8.66","0.49","15","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Ardbeg Kelpie","8.79","0.08","6","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Perpetuum","8.91","0.36","14","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Supernova 2014","9.06","0.31","14","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Supernova 2015","9.00","0.32","7","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Ardbeg Uigeadail","9.20","0.41","22","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Ardmore Traditional Cask","8.55","0.18","19","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Arran Malt 10yo","8.51","0.29","20","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt 12yo Cask Strength (all editions)","8.65","0.38","12","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Arran Malt 14yo","8.68","0.26","20","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt 17yo","8.85","0.24","10","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt 18yo","8.93","0.12","14","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Amarone Cask Finish","8.77","0.34","10","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Arran Malt Bourbon Single Cask","8.89","0.19","9","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Lochranza Reserve","8.08","0.55","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt Machrie Moor Cask Strength","8.79","0.07","3","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Arran Malt Machrie Moor Peated (all editions)","7.91","0.56","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Arran Malt Madeira Wine Cask","8.67","0.42","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Napoleon Cognac Finish","8.72","0.69","5","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Orkney Bere Barley","8.82","0.31","8","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Arran Malt Port Cask Finish","8.62","0.37","11","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Robert Burns Single Malt","8.15","0.49","7","$$","SingleMalt-like","EF","F","Scotland","Malt"
"Arran Malt Sauternes Finish","8.51","0.33","11","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Sherry Cask Finish","8.31","0.55","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt Sherry Single Cask","8.55","0.53","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Arran Malt The Devil’s Punch Bowl (all chapters)","8.89","0.30","9","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Arran Malt Tokaji Aszu Wine Finish","8.79","0.36","4","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Auchentoshan 10yo","7.77","0.37","10","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan 12yo","8.29","0.26","21","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchentoshan 18yo","8.37","0.37","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchentoshan 21yo","8.83","0.26","12","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Auchentoshan American Oak","7.61","0.87","7","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan Classic","7.90","0.48","8","$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan Three Wood","8.26","0.41","21","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Auchentoshan Valinch","8.25","0.61","12","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchentoshan Virgin Oak","8.23","0.55","7","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Auchroisk 10yo (F&F)","8.10","0.19","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Aultmore 12yo","8.48","0.21","12","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Aultmore 18yo","8.54","0.19","5","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Aultmore 25yo","8.92","0.24","3","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Balblair 1989","8.54","0.45","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balblair 2000","8.38","0.32","9","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Balcones Texas Single Malt Whisky","8.68","0.34","10","$$$$","SingleMalt-like","EF","E","USA","Malt"
"Balvenie 12yo Doublewood","8.42","0.34","21","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 12yo Single Barrel","8.62","0.33","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Balvenie 12yo Triple Cask","8.38","0.43","9","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 14yo Carribean Cask","8.51","0.35","18","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Balvenie 15yo Single Barrel (Cask)","8.85","0.24","22","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Balvenie 16yo Triple Cask","8.63","0.24","9","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 17yo Doublewood","8.71","0.23","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie 21yo Port Wood","8.79","0.37","16","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 25yo Single Barrel","8.69","0.93","3","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Balvenie TUN 1401 (all 8 batches)","9.15","0.29","15","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1509 (all 3 batches)","9.01","0.17","11","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Ben Nevis 10yo","8.18","0.44","11","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 10yo Curiositas","8.61","0.30","18","$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 10yo","8.57","0.17","10","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"BenRiach 12yo Horizons","8.37","0.30","7","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"BenRiach 12yo Matured in Sherry Wood","8.69","0.20","12","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"BenRiach 12yo","8.44","0.25","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"BenRiach 15yo Sauternes Finish","8.12","0.51","3","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"BenRiach 15yo Tawny Port Finish","8.44","0.31","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 17yo Septendecim Peated","8.54","0.55","17","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 17yo Solstice Peated Port","8.95","0.27","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 18yo Albariza Pedro Ximenez Peated","9.10","0.21","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 18yo Dunder","8.70","0.25","4","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"BenRiach 18yo Latada","8.82","0.19","5","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"BenRiach 20yo","8.23","0.72","9","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"BenRiach 21yo Authenticus Peated","8.87","0.34","12","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 25yo Authenticus Peated","8.66","0.57","6","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach 25yo","8.80","0.45","13","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"BenRiach 35yo","8.96","0.59","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach Birnie Moss","8.29","0.34","10","$$$","SingleMalt-like","I","I","Scotland","Malt"
"BenRiach Cask Strength","8.70","0.40","5","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"BenRiach Heart of Speyside","7.73","0.87","7","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"BenRiach Peated Quarter Casks","8.59","0.30","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Benrinnes 15yo F&F","8.35","0.80","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Benromach 10yo Cask Strength (100 proof)","9.03","0.15","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Benromach 10yo","8.70","0.27","20","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Benromach 15yo","8.74","0.50","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Benromach 5yo","8.81","0.17","4","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Benromach Organic","8.50","0.49","13","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Benromach Peat Smoke","8.44","0.27","13","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Benromach Sassicaia","8.45","0.25","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Benromach Traditional","8.41","0.44","11","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Big Peat (Douglas Laing)","8.80","0.22","14","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Big Peat Christmas Edition (2012-2016)","8.85","0.16","9","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Blair Athol 12yo (F&F)","8.40","0.46","7","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 10yo Devil's Cask (all batches)","8.81","0.31","16","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 10yo Tempest","8.82","0.17","18","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 12yo Enigma","8.58","0.32","11","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 12yo","8.40","0.28","18","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 15yo Darkest","8.62","0.32","20","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 15yo Laimrig","8.99","0.16","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 15yo Mariner","8.64","0.45","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 17yo White Sands","8.49","0.53","5","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 17yo","8.35","0.65","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 18yo","8.56","0.46","16","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore 25yo","8.85","0.51","9","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore Black Rock","8.29","0.32","8","$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore Gold Reef","8.35","0.33","8","$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Legend","7.68","0.56","10","$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Mizunara Cask Finish","8.89","0.44","3","$$$$$+","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Small Batch","8.27","0.54","11","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bowmore Springtide","9.06","0.77","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore Vault Edition First Release","8.63","0.21","8","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Box The 2nd Step Collection 02","8.91","0.05","3","$$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Box The Festival 2014","8.94","0.14","3","$$$$$","SingleMalt-like","J","J","Sweden","Malt"
"Brora 21yo","8.86","0.40","4","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Brora 30yo","9.29","0.21","17","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Brora 35yo","9.43","0.34","10","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich 21yo Cuvée 382 La Berenice","8.58","0.61","5","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich 21yo Cuvée 407 PX","8.97","0.18","3","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Bruichladdich 21yo Cuvée 640 Eroica","8.72","0.40","8","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich 8yo Laddie Eight","8.25","0.62","4","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Black Art 1989","8.25","0.39","4","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Black Art 2.x 1989","9.05","0.18","7","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Black Art 3.x 1989","9.06","0.41","10","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Black Art 4.x 1990","8.53","0.60","10","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Black Art 5.x 1992","9.08","0.18","3","$$$$$+","SingleMalt-like","EF","E","Scotland","Malt"
"Bruichladdich Classic Laddie Scottish Barley","8.39","0.44","8","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Infinity Third Edition","8.78","0.27","5","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Islay Barley (all vintages)","8.57","0.24","12","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Bruichladdich Laddie Classic (Edition 01)","8.43","0.56","6","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Sixteen","8.75","0.22","12","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Ten (Second Edition)","8.93","0.19","8","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Ten","8.83","0.30","16","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Laddie Twenty Two","8.86","0.25","10","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Bruichladdich Octomore 10 (Second Edition)","9.13","0.20","5","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 10","8.88","0.39","5","$$$$$+","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.1","8.73","0.26","13","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.2","9.09","0.24","8","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 6.3","8.74","0.63","8","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.1","8.99","0.27","11","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.2","8.94","0.29","7","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.3","9.03","0.42","6","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Octomore 7.4","8.57","0.69","7","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bruichladdich Rocks","8.37","0.29","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bruichladdich Sherry Classic","8.24","0.87","6","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Bunnahabhain 12yo","8.61","0.30","18","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Bunnahabhain 18yo","9.01","0.19","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bunnahabhain 25yo","8.84","0.36","15","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Bunnahabhain 40yo","9.16","0.33","6","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Bunnahabhain Ceòbanach","8.81","0.28","11","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bunnahabhain Darach Ur","8.41","0.31","10","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Bunnahabhain Eirigh Na Greine","8.45","0.42","8","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Bunnahabhain Toiteach","8.59","0.38","14","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Bushmills 10yo Single Malt","8.19","0.29","19","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"Bushmills 16yo Single Malt","8.49","0.48","16","$$$$","SingleMalt-like","ABC","B","Ireland","Malt"
"Bushmills 21yo Single Malt","8.93","0.34","11","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Bushmills Black Bush","8.36","0.39","20","$$","SingleMalt-like","ABC","C","Ireland","Blend"
"Bushmills Sherry Cask Reserve","8.18","0.42","3","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Caol Ila 12yo","8.72","0.18","19","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Caol Ila 15yo Unpeated","8.54","0.41","8","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Caol Ila 17yo Unpeated","8.58","0.53","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
